example_id,source,source_file,pair_id,change_id,old_text,new_text,combined_text,operation_type,semantic_type,significance_label,high_priority_label,is_gold,is_synthetic,is_weak,label_source,confidence,notes,old_length,new_length,length_delta,relative_length_delta,has_number,has_date,has_deadline_terms,has_obligation_terms,has_refusal_terms,has_document_terms,has_responsibility_terms,has_procedure_terms,has_payment_terms,has_editorial_terms,has_legal_reference,has_modal_verbs,text_complexity_bucket,y_significance,y_high_priority,y_semantic_type,rule_based_label,rule_based_confidence,rule_based_reason,rule_based_requires_manual_review
pair_01_deadline_change:chg_001,significance_gold_results,experiments/significance/significance_results.csv,pair_01_deadline_change,chg_001,Срок рассмотрения заявления составляет 10 рабочих дней со дня его регистрации.,Срок рассмотрения заявления составляет 7 рабочих дней со дня его регистрации.,Срок рассмотрения заявления составляет 10 рабочих дней со дня его регистрации. Срок рассмотрения заявления составляет 7 рабочих дней со дня его регистрации.,modified,deadline,critical,1,1,0,0,significance_results_csv,1.0,Срок рассмотрения заявления сокращен с 10 до 7 рабочих дней.,78,77,1,0.0128,1,0,1,0,0,0,0,0,0,0,0,0,medium,critical,1,deadline,critical,1.0,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=deadline, critical_keywords.",0
pair_02_added_obligation:chg_001,significance_gold_results,experiments/significance/significance_results.csv,pair_02_added_obligation,chg_001,,Сотрудник обязан уведомить заявителя о результате рассмотрения обращения через локальную систему уведомлений.,Сотрудник обязан уведомить заявителя о результате рассмотрения обращения через локальную систему уведомлений.,added,obligation,critical,1,1,0,0,significance_results_csv,1.0,Добавлена новая обязанность сотрудника уведомлять заявителя о результате рассмотрения обращения.,0,109,109,1.0,0,0,0,1,0,0,0,0,0,0,0,1,short,critical,1,obligation,critical,1.0,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, critical_keywords.",0
pair_03_document_list_change:chg_001,significance_gold_results,experiments/significance/significance_results.csv,pair_03_document_list_change,chg_001,,"г) копию документа, подтверждающего полномочия представителя, если заявление подает представитель.","г) копию документа, подтверждающего полномочия представителя, если заявление подает представитель.",added,document,critical,1,1,0,0,significance_results_csv,1.0,"В перечень обязательных документов добавлена копия документа, подтверждающего полномочия представителя.",0,98,98,1.0,0,0,0,0,0,0,0,0,0,0,0,0,short,critical,1,document,critical,1.0,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=document.",0
pair_04_refusal_ground_change:chg_001,significance_gold_results,experiments/significance/significance_results.csv,pair_04_refusal_ground_change,chg_001,,Основанием для отказа является непредставление обязательных документов в установленный срок.,Основанием для отказа является непредставление обязательных документов в установленный срок.,added,refusal,critical,1,1,0,0,significance_results_csv,1.0,Добавлено новое основание отказа: непредставление обязательных документов в установленный срок.,0,92,92,1.0,0,0,1,0,0,1,0,0,0,0,0,0,short,critical,1,refusal,critical,1.0,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=refusal, critical_keywords.",0
pair_07_responsibility_change:chg_001,significance_gold_results,experiments/significance/significance_results.csv,pair_07_responsibility_change,chg_001,,За нарушение срока обработки заявления сотрудник несет ответственность в соответствии с внутренним регламентом подразделения.,За нарушение срока обработки заявления сотрудник несет ответственность в соответствии с внутренним регламентом подразделения.,added,responsibility,critical,1,1,0,0,significance_results_csv,1.0,Добавлено правило об ответственности сотрудника за нарушение срока обработки заявления.,0,125,125,1.0,0,0,0,0,0,0,0,0,0,0,0,0,medium,critical,1,responsibility,critical,1.0,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=responsibility, critical_keywords.",0
pair_10_weakly_structured_document:chg_001,significance_gold_results,experiments/significance/significance_results.csv,pair_10_weakly_structured_document,chg_001,Обращение рассматривается ответственным подразделением в течение 5 рабочих дней. По итогам рассмотрения готовится ответ с описанием результата и дальнейших действий.,Обращение рассматривается ответственным подразделением в течение 3 рабочих дней. По итогам рассмотрения готовится ответ с описанием результата и дальнейших действий.,Обращение рассматривается ответственным подразделением в течение 5 рабочих дней. По итогам рассмотрения готовится ответ с описанием результата и дальнейших действий. Обращение рассматривается ответственным подразделением в течение 3 рабочих дней. По итогам рассмотрения готовится ответ с описанием результата и дальнейших действий.,modified,deadline,critical,1,1,0,0,significance_results_csv,1.0,В слабо структурированном документе срок рассмотрения обращения изменен с 5 до 3 рабочих дней.,165,165,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,long,critical,1,deadline,critical,1.0,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=deadline, critical_keywords.",0
synthetic_deadline_change_001:chg_001,curated_synthetic,generated:curated_synthetic,synthetic_deadline_change_001,chg_001,Срок рассмотрения заявления составляет 15 рабочих дней.,Срок рассмотрения заявления составляет 10 рабочих дней.,Срок рассмотрения заявления составляет 15 рабочих дней. Срок рассмотрения заявления составляет 10 рабочих дней.,modified,deadline_change,critical,1,0,1,0,curated_synthetic,0.9,Сокращение срока рассмотрения.,55,55,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,short,critical,1,deadline_change,critical,0.9,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: critical_keywords.",0
synthetic_deadline_change_002:chg_001,curated_synthetic,generated:curated_synthetic,synthetic_deadline_change_002,chg_001,Запрос подлежит обработке в течение 20 календарных дней.,Запрос подлежит обработке в течение 12 календарных дней.,Запрос подлежит обработке в течение 20 календарных дней. Запрос подлежит обработке в течение 12 календарных дней.,modified,deadline_change,critical,1,0,1,0,curated_synthetic,0.9,Сокращен календарный срок обработки.,56,56,0,0.0,1,0,1,1,0,0,0,0,0,0,0,1,short,critical,1,deadline_change,important,0.51,"Изменение влияет на порядок работы или условия взаимодействия, но не относится к наиболее критичным. Сработали правила: fallback_manual_review. Для этого изменения автоматическая оценка недостаточно уверенная, рекомендуется ручная проверка.",1
synthetic_deadline_change_003:chg_001,curated_synthetic,generated:curated_synthetic,synthetic_deadline_change_003,chg_001,Справка выдается не позднее 7 рабочих дней.,Справка выдается не позднее 3 рабочих дней.,Справка выдается не позднее 7 рабочих дней. Справка выдается не позднее 3 рабочих дней.,modified,deadline_change,critical,1,0,1,0,curated_synthetic,0.9,Срок выдачи справки сокращен.,43,43,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,short,critical,1,deadline_change,critical,0.9,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: critical_keywords.",0
synthetic_deadline_change_004:chg_001,curated_synthetic,generated:curated_synthetic,synthetic_deadline_change_004,chg_001,Сотрудник направляет ответ в течение 5 рабочих дней.,Сотрудник направляет ответ в течение 2 рабочих дней.,Сотрудник направляет ответ в течение 5 рабочих дней. Сотрудник направляет ответ в течение 2 рабочих дней.,modified,deadline_change,critical,1,0,1,0,curated_synthetic,0.9,Сокращен срок направления ответа.,52,52,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,short,critical,1,deadline_change,critical,0.9,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: critical_keywords.",0
synthetic_deadline_change_005:chg_001,curated_synthetic,generated:curated_synthetic,synthetic_deadline_change_005,chg_001,Обращение хранится до 30 календарных дней.,Обращение хранится до 10 календарных дней.,Обращение хранится до 30 календарных дней. Обращение хранится до 10 календарных дней.,modified,deadline_change,critical,1,0,1,0,curated_synthetic,0.9,Сокращен срок хранения обращения.,42,42,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,short,critical,1,deadline_change,important,0.51,"Изменение влияет на порядок работы или условия взаимодействия, но не относится к наиболее критичным. Сработали правила: fallback_manual_review. Для этого изменения автоматическая оценка недостаточно уверенная, рекомендуется ручная проверка.",1
